dataset,publisher,license,formats,size_kb,datastore,external,category,content,tier,verdict,collector_status,note
"data.gov.il:takanot_hayerusha-batei_hadin_hasharaim","ministry_of_justice","other-open","CSV","0","true","false","inheritance","metadata_plus_summary","2","VERIFIED_OPEN","ready_to_build","בקשות צו ירושה — בתי הדין השרעיים"
"data.gov.il:takanot_hayerusha-batei_hadin_hadruzim","ministry_of_justice","other-open","CSV","0","true","false","inheritance","metadata_plus_summary","2","VERIFIED_OPEN","ready_to_build","בקשות צו ירושה — בתי הדין הדרוזיים"
"data.gov.il:trademarks_nice","ministry_of_justice","other-open","CSV/PDF","964","true","false","trademarks","reference","3","VERIFIED_OPEN","audit_required","סיווגי ניס לסימני מסחר"
"data.gov.il:bakashot_cpc","ministry_of_justice","cc-by","CSV/PDF","0","true","false","patents","reference","3","OPEN_WITH_OBLIGATIONS","audit_required","סיווגי CPC לפטנטים"
"data.gov.il:tovin","ministry_of_justice","cc-by","CSV/PDF","0","true","false","legal_reference","reference","3","OPEN_WITH_OBLIGATIONS","audit_required","רשימת סחורות/שירותים"
"data.gov.il:maale","ministry_of_justice","other-open","XLSX","23","true","false","legal_reference","reference","3","VERIFIED_OPEN","audit_required","כלי חיפוש קטן"
"data.gov.il:magistrate-court-list","the_judicial_authority","other-open","XLSX","61","true","false","court_metadata","directory","3","VERIFIED_OPEN","audit_required","רשימת בתי משפט השלום"
"data.gov.il:court-lost","the_judicial_authority","other-open","XLSX","18","true","false","court_metadata","directory","3","VERIFIED_OPEN","audit_required","רשימת בתי משפט ובתי דין לעבודה"
"data.gov.il:molsa-court-assiatance-units","ministry_of_social_affairs","other-open","CSV/PDF","328","true","false","directory_only","directory","3","VERIFIED_OPEN","audit_required","יחידות סיוע ליד בתי המשפט"
"data.gov.il:my-bills","knesset","other-open","","0","false","true","legislation","reference","0","REVIEW","audit_required","הצעות חוק — קישור חיצוני (רישיון עשוי לא לחול)"
"data.gov.il:odata","knesset","other-open","","0","false","true","legislation","reference","0","REVIEW","audit_required","מידע פרלמנטרי — קישור חיצוני"
"data.gov.il:547","knesset","other-open","","0","false","false","legislation","none","0","REVIEW","audit_required","אין resources נגישים"
"data.gov.il:accessibilityorders","cio","other-open","CSV","0","true","false","administrative_decisions","unclear","0","REVIEW","audit_required","צווי נגישות — טרם אומת תוכן"
"data.gov.il:supervisionfiles","ministry_of_justice","other-open","CSV","0","true","false","unclear","unclear","0","REVIEW","audit_required","קבצי פיקוח — טרם אומת תוכן"
"data.gov.il:ransom","moital","other-open","CSV","0","true","false","unclear","unclear","0","REVIEW","audit_required","טרם אומת תוכן משפטי"
"data.gov.il:businessreq","moital","other-open","CSV","0","true","false","unclear","unclear","0","REVIEW","audit_required","דרישות עסק — טרם אומת"
"data.gov.il:crime_records_data","israel-police","other-open","XLSX/CSV","382234","true","false","statistical_only","statistics","0","REJECTED","retired","סטטיסטיקת פשיעה — לא מסמכים משפטיים"
"data.gov.il:releasespeed","taxes-authority","other-open","CSV","324","true","false","statistical_only","statistics","0","REJECTED","retired","זמני שחרור מכס — סטטיסטי"
"data.gov.il:stream-monitoring","ministry_of_the_environment","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","ניטור נחלים"
"data.gov.il:sewage_budgeting","water_authority","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","תקצוב ביוב"
"data.gov.il:noise-duration","ministry_of_the_environment","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","רעש"
"data.gov.il:budget2020","pmo","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","תקציב"
"data.gov.il:metrology","moital","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","מטרולוגיה"
"data.gov.il:stat2017","culture_and_sports","cc-by","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","סטטיסטיקת ספורט"
"data.gov.il:stat2018","culture_and_sports","cc-by","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","סטטיסטיקת ספורט"
"data.gov.il:firefightingfees","firefightingcommission","cc-by","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","אגרות כבאות"
"data.gov.il:n2r","betihut-drahim","cc-by","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","בטיחות בדרכים"
"data.gov.il:goverment-domesticdebt","mof","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","חוב ממשלתי"
"data.gov.il:data-doctionary-business","cio","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","מילון נתונים"
"data.gov.il:data-dictionary-asset","cio","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","מילון נתונים"
"data.gov.il:2023","pmo","other-open","","0","false","false","not_legal","none","0","REJECTED","retired","ללא תוכן משפטי"
"data.gov.il:continuing_education","ministry-health","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","השתלמויות"
"data.gov.il:sherut-mivhan-lanoar","ministry_of_social_affairs","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","שירות מבחן לנוער — מנהלי"
"data.gov.il:manager-elections-2023","interior_affairs","other-open","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","בחירות"
"data.gov.il:mfa_un","ministry_of_exterior","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","או""ם"
"data.gov.il:aluyot-pituach","ministry_of_housing","cc-by","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","עלויות פיתוח"
"data.gov.il:business-licensing-br7","moital","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","רישוי עסקים — רשימה"
"data.gov.il:unified_businesses-br7","moital","other-open","CSV","0","true","false","not_legal","reference","0","REJECTED","retired","עסקים — רשימה"
"data.gov.il:companiespersonscleansing20200","ministry_of_justice","other-open","CSV","0","true","false","directory_only","reference","0","REJECTED","retired","ניקוי כפילויות — טכני"
"data.gov.il:566","culture_and_sports","cc-by","CSV","0","true","false","not_legal","statistics","0","REJECTED","retired","סטטיסטיקה"
